"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Chinook yearling","2012","Stratum_1"," [count/km2]",1016059.6927266,121865.463369077,0.119939275459349
"Coho yearling","2012","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2013","Stratum_1"," [count/km2]",411642.646962891,129200.703825046,0.31386617683637
"Chinook yearling","2013","Stratum_1"," [count/km2]",776077.705765594,135463.041616235,0.174548296658776
"Coho yearling","2013","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2014","Stratum_1"," [count/km2]",181270.303693387,71540.3216864775,0.39466101302222
"Chinook yearling","2014","Stratum_1"," [count/km2]",553388.506079583,95180.6084955995,0.171995998200063
"Coho yearling","2014","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2015","Stratum_1"," [count/km2]",86945.5914325251,31223.6116030019,0.359116673871076
"Chinook yearling","2015","Stratum_1"," [count/km2]",1047273.97249246,123843.849741785,0.118253535363858
"Coho yearling","2015","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2016","Stratum_1"," [count/km2]",362683.14921605,86058.7638984796,0.237283601635472
"Chinook yearling","2016","Stratum_1"," [count/km2]",856705.46097756,100906.572029116,0.117784438906196
"Coho yearling","2016","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2017","Stratum_1"," [count/km2]",65705.1947046424,25143.2483370704,0.38266758739692
"Chinook yearling","2017","Stratum_1"," [count/km2]",226177.617460729,40490.2295439092,0.179019612985974
"Coho yearling","2017","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2018","Stratum_1"," [count/km2]",223232.877408126,57502.4923582154,0.257589710914698
"Chinook yearling","2018","Stratum_1"," [count/km2]",686597.506801728,90269.0899878987,0.131473081526884
"Coho yearling","2018","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2019","Stratum_1"," [count/km2]",358680.203652407,118213.979996065,0.329580441831759
"Chinook yearling","2019","Stratum_1"," [count/km2]",466129.855373595,88529.4555799613,0.189924448218418
"Coho yearling","2019","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2020","Stratum_1"," [count/km2]",598214.422278682,192128.13088849,0.321169339509816
"Chinook yearling","2020","Stratum_1"," [count/km2]",207942.572303913,61279.062107939,0.294692238481971
"Coho yearling","2020","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2021","Stratum_1"," [count/km2]",255113.717274073,84509.4286202093,0.331261797770833
"Chinook yearling","2021","Stratum_1"," [count/km2]",1318549.86705019,140457.812660412,0.106524460068119
"Coho yearling","2021","Stratum_1"," [count/km2]",0,0,0
"Chinook subyearling","2022","Stratum_1"," [count/km2]",2622.17394188748,3896.9225335975,1.48614188835713
"Chinook yearling","2022","Stratum_1"," [count/km2]",498331.829333633,83090.2642486907,0.166736819439767
"Coho yearling","2022","Stratum_1"," [count/km2]",0,0,0
